Наименование станции,Время открытия,Время закрытия на вход,Время закрытия на выход,"Первый поезд в сторону станции «Девяткино», по нечетным дням","Первый поезд в сторону станции «Девяткино», по четным дням",Первый поезд в сторону станции «Проспект Ветеранов» по нечетным дням,Первый поезд в сторону станции «Проспект Ветеранов» по четным дням,Последний поезд в сторону станции «Девяткино»,Последний поезд в сторону станции «Проспект Ветеранов»,Примечание
Вестибюль 1 станции Проспект Ветеранов,5-38,0-02,1-02,5-42,5-45,5-55,5-55,0-07,0-52,-
Вестибюль 2 станции Проспект Ветеранов,5-38,0-02,1-02,5-42,5-45,5-55,5-55,0-07,0-52,-
Вестибюль 1 станции Ленинский проспект,5-40,0-45,1-00,5-44,5-44,5-52,5-52,0-09,0-49,-
Вестибюль 2 станции Ленинский проспект,6-30,22-00,22-00,5-44,5-44,5-52,5-52,0-09,0-49,-
Автово,5-30,0-42,0-55,5-35,5-35,5-49,5-49,0-12,0-47,-
Кировский завод,5-30,0-39,0-55,5-38,5-38,6-03,6-03,0-15,0-44,-
Нарвская,5-36,0-36,0-51,5-41,5-41,5-59,5-59,0-18,0-41,-
Балтийская,5-36,0-33,0-50,5-44,5-44,5-57,5-57,0-21,0-38,-
Технологический институт 1,5-40,0-28,0-55,5-47,5-47,5-54,5-54,0-23,0-36,-
Пушкинская,5-38,0-28,0-45,5-49,5-49,5-52,5-52,0-25,0-33,-
Владимирская,5-35,0-26,0-45,5-50,5-50,5-50,5-50,0-27,0-31,-
Вестибюль 1 станции Площадь Восстания,5-40,0-24,0-45,5-53,5-53,5-48,5-48,0-29,0-29,-
Вестибюль 2 станции Площадь Восстания,5-40,0-24,0-45,5-53,5-53,5-48,5-48,0-29,0-29,-
Чернышевская,5-35,0-27,0-42,5-55,5-55,5-45,5-45,0-32,0-27,-
Вестибюль 1 станции Площадь Ленина,5-35,0-30,0-47,5-58,5-58,5-43,5-43,0-35,0-24,-
Вестибюль 2 станции Площадь Ленина,5-35,22-00,22-10,5-58,5-58,5-43,5-43,0-35,0-24,-
Выборгская,5-44,0-32,0-47,6-00,6-00,5-52,5-52,0-37,0-22,-
Лесная,5-40,0-35,0-52,6-03,6-03,5-49,5-49,0-40,0-19,-
Площадь Мужества,5-38,0-38,0-55,6-06,6-06,5-46,5-46,0-43,0-16,-
Политехническая,5-36,0-40,0-55,6-08,6-08,5-44,5-44,0-45,0-13,-
Академическая,5-35,0-42,0-57,6-10,6-10,5-42,5-42,0-47,0-11,-
Гражданский проспект,5-30,0-46,1-02,6-14,6-14,5-38,5-38,0-51,0-07,-
Вестибюль 1 станции Девяткино,5-32,0-02,1-04,6-17,6-17,5-35,5-35,0-54,0-05,-
Вестибюль 2 станции Девяткино,5-32,0-02,1-04,6-17,6-17,5-35,5-35,0-54,0-05,-
