Наименование станции,Время открытия,Время закрытия на вход,Время закрытия на выход,"Первый поезд в сторону станции «Комендантский проспект», по нечетным дням","Первый поезд в сторону станции «Комендантский проспект», по четным дням","Первый поезд в сторону станции «Международная», по нечетным дням","Первый поезд в сторону станции «Международная», по четным дням",Последний поезд в сторону станции «Комендантский проспект»,Последний поезд в сторону станции «Международная»,Примечание
Шушары,5-25,0-05,1-00,5-30,5-30,6-17,6-17,0-10,0-46,-
Вестибюль 1 станции Дунайская,6-30,22-00,22-00,5-33,5-33,6-14,6-14,0-13,0-43,-
Вестибюль 2 станции Дунайская,5-26,0-35,0-55,5-33,5-33,6-14,6-14,0-13,0-43,-
Вестибюль 1 станции Проспект Славы,5-26,0-32,0-55,5-36,5-36,6-11,6-11,0-16,0-40,-
Вестибюль 2 станции Проспект Славы,5-26,0-32,0-55,5-36,5-36,6-11,6-11,0-16,0-40,-
Международная,5-29,0-32,0-50,5-38,5-38,6-08,6-08,0-18,0-38,-
Бухарестская,5-32,0-29,0-50,5-41,5-41,6-06,6-06,0-20,0-36,-
Волковская,5-35,0-27,0-45,5-43,5-43,6-04,6-04,0-22,0-33,-
Обводный канал,5-35,0-24,0-45,5-46,5-46,6-01,6-01,0-25,0-31,-
Звенигородская,5-38,0-23,0-50,5-49,5-49,5-58,5-58,0-28,0-28,-
Садовая,5-36,0-24,0-45,5-51,5-51,5-56,5-56,0-30,0-26,-
Адмиралтейская,5-43,0-24,0-50,5-53,5-53,5-54,5-54,0-32,0-24,-
Вестибюль 1 станции Спортивная,5-42,0-30,0-50,5-57,5-57,5-50,5-50,0-35,0-20,-
Вестибюль 2 станции Спортивная,5-34,0-26,0-50,5-57,5-57,5-50,5-50,0-35,0-20,-
Чкаловская,5-42,0-33,0-50,5-50,5-59,5-49,5-49,0-37,0-19,-
Крестовский остров,5-42,0-36,0-55,5-53,5-53,5-49,5-49,0-40,0-15,-
Старая Деревня,5-35,0-39,0-55,5-43,5-50,5-46,5-46,0-43,0-13,-
Комендантский проспект,5-35,0-03,1-00,5-47,5-53,5-43,5-43,0-46,0-10,-
